gan'zhi'gan 乾之乾：道陟石阪，胡言连蹇。译喑且聋，莫使道通。请谒不行，求事无功。
xu'zhi'cui 需之萃：大口宣舌，神使仲言。黄龙景星，出应德门。与福上天，天下安昌。
xu'zhi'sheng 需之升：凶子祸孙，把剑向门。凶讼欢嚣，惊骇我家。
xu'zhi'kun 需之困：祝伯善言，能事鬼神。辞祈万岁，使君延年。
xu'zhi'jing 需之井：圭璧琮璋，执贽见王。百里甯戚，应聘齐秦。
xu'zhi'ge 需之革：昧旦乘车，履危蹈沟。亡失裙襦，摧折两轴。
xu'zhi'ding 需之鼎：胶著木连，不出牛栏。斯飨羔羊，家室相安。
xu'zhi'zhen 需之震：卷领遁世，仁德不舍。三圣攸同，周家茂兴。
xu'zhi'gen 需之艮：黍稷苗稻，垂秀方造。中旱不雨，伤风枯槁。
xu'zhi'jian 需之渐：冠带南游，与福喜逢。期于嘉贞，拜为公卿。
xu'zhi'gui'mei 需之归妹：一巢九子，同公共母。柔顺利贞，出入不殆，福禄所在。
xu'zhi'feng 需之丰：韩氏长女，嫁于东海。宜家富主，柔顺以居。利得过倍。
xu'zhi'lv 需之旅：因祸受福，喜盈我室，所愿必得。
xu'zhi'xun 需之巽：晋平有疾，迎医秦国。病乃大患，分为两竖。逃匿膏盲，和不能愈。
xu'zhi'dui 需之兑：杜飞门启，患忧大解。修福行善，不为身祸。
xu'zhi'huan 需之涣：追亡逐北，至止而得。稚叔相呼，反其室庐。
xu'zhi'jie 需之节：鸟鸣既端，一呼三颠。动摇东西，危栗不安。疾病无患。
xu'zhi'zhong'fu 需之中孚：龙化为虎，泰山之阳。众多从者，莫敢救藏。
xu'zhi'xiao'guo 需之小过：焱风忽起，车驰揭揭。弃名追亡，失其和节，忧心惙惙。
xu'zhi'ji'ji 需之既济：游居石门，禄安身全。受福西邻，归饮玉泉。
xu'zhi'wei'ji 需之未济：登高上山，见王自言。申理我谗，得职蒙恩。
song'zhi'song 讼之讼：文巧俗弊，将反大质。僵死如麻，流血濡橹。皆知其母，不识其父，干戈乃止。
song'zhi'gan 讼之乾：文王四乳，仁爱笃厚。子畜十男，夭折无有。
song'zhi'kun 讼之坤：日入望东，不见子家。长女无夫，左手搔头。
song'zhi'tun 讼之屯：东上泰山，见尧自言。申理我冤，以解忧患。
song'zhi'meng 讼之蒙：奎轸温汤，过角宿房。宣时布和，无所不通。
song'zhi'xu 讼之需：引船牵头，虽拘无忧。王母善祷，祸不成灾。
song'zhi'shi 讼之师：凫得水没，喜笑自啄。毛羽悦泽，利以攻玉。公出不复，伯氏客宿。
song'zhi'bi 讼之比：水流趍下，欲至东海。求我所有，买鲂与鲤。
song'zhi'xiao'xu 讼之小畜：獐鹿逐牧，安饱其居。反还次舍，无有疾故。
song'zhi'lv 讼之履：树植藿豆，不得芸锄。王事靡盬，秋无所收。
song'zhi'tai 讼之泰：弱水之西，有西王母。生不知死，与天相保。
song'zhi'pi 讼之否：数穷廓落，困于历室。卒登玉堂，与尧侑食。
song'zhi'tong'ren 讼之同人：子锄执麟，春秋作元。阴圣将终，尼父悲心。
song'zhi'da'you 讼之大有：尹氏伯奇，父子生离。无罪被辜，长舌所为。
song'zhi'qian 讼之谦：播木折枝，与母别离。九皋难扣，绝不相知。
song'zhi'yu 讼之豫：弱鸡无距，与鹊格鬭。翅折目盲，为鸠所伤。
song'zhi'sui 讼之随：甲乙丙丁，俱归我庭。三丑六子，入门见母。
song'zhi'gu 讼之蛊：桑叶螟蠹，衣弊如络。女工不成，丝布为玉。
song'zhi'lin 讼之临：开牢辟门，巡狩释冤。夏台羑里，汤文悦喜。
song'zhi'guan 讼之观：钦明之德，坐前玉食。必保嘉美，长受安福。
song'zhi'ke'shi 讼之噬嗑：武夫司空，多口争讼。金火当户，民不安处，年饥无有。
song'zhi'ben 讼之贲：紫阁九重，尊严在中。黄帝尧舜，履行至公。冠带垂衣，天下康宁。
song'zhi'bo 讼之剥：负牛上山，力劣行难。烈风雨雪，遮遏我前。中道复还，忧者自欢。
song'zhi'fu 讼之复：褰兔缺唇，行难齿寒。口痛不言，为身生患。
song'zhi'wu'wang 讼之无妄：合体比翼，嘉耦相得。与君同好，使我有福。
song'zhi'da'xu 讼之大畜：口啄卒卒，忧从中出。丧我宝贝，妻妾失位。
song'zhi'yi 讼之颐：两心不同，或从西东。明论终日，莫适相从。
song'zhi'da'guo 讼之大过：哑哑笑言，与善饮食。长乐行觞，千秋起舞，拜受大福。
song'zhi'kan 讼之坎：初忧后喜，与福为市。八佾列陈，饮御诸友。
song'zhi'li 讼之离：西徙无家，破其新车。王孙失利，不如止居。
song'zhi'xian 讼之咸：凤凰在左，麒麟处右。仁圣相遇，伊吕集聚。时无殃咎，福为我母。
song'zhi'heng 讼之恒：区脱康居，慕仁入朝。湛露之欢，三爵毕恩，复归旧庐。
song'zhi'dun 讼之遯：疾贫望幸，使伯行贩。关牢择羊，多得大牂。
song'zhi'da'zhaung 讼之大壮：处高不伤，虽危不亡。握珠怀玉，还归其乡。
song'zhi'jin 讼之晋：右手弃酒，左手牧牂。行逢礼御，饵得玉杯。
song'zhi'ming'yi 讼之明夷：养虎牧狼，还自贼伤。大勇小捷，虽危不亡。
song'zhi'jia'ren 讼之家人：戴尧扶禹，松乔彭祖。西遇王母，道路夷易，无敢难者。
song'zhi'kui 讼之睽：秋冬探巢，不得鹊鶵。衘指北去，愧我少姬。
song'zhi'jian 讼之蹇：两羝三牂，俱之代乡。留连多难，损其食粮。
song'zhi'jie 讼之解：南徙无庐，鸟破其巢。伐木思初，不利动摇。
song'zhi'sun 讼之损：争讼不已，更相击剑。张季弱口，被发北走。
song'zhi'yi 讼之益：延颈望酒，不入我口。初喜后否，得利无有。
song'zhi'kuai 讼之夬：被发倾走，寇逐我后。亡失刀兵，身全不伤。
song'zhi'gou 讼之姤：麟凤所游，安乐无忧。君子抚民，世代千秋。
song'zhi'cui 讼之萃：褰衣涉河，水深渍罢。赖幸舟子，济脱无他。
song'zhi'sheng 讼之升：愦愦不悦，忧从中出。丧我金罂，无妄失位。
song'zhi'kun 讼之困：绊跳不远，心与言反。尼父望家，萏菡未华。
song'zhi'jing 讼之井：大壮肥?，惠我诸舅。内外和睦，不忧饥渴。
song'zhi'ge 讼之革：黄帝建元，文德在身。禄若阳春，封为鲁君。
song'zhi'ding 讼之鼎：虎聚摩牙，人待豚猪。往必伤亡，宜利止居。
meng'zhi'xiao'xu 讼之震：天地配享，六位光明。阴阳顺序，以成和平。
song'zhi'gen 讼之艮：猿坠高木，不踒手足。保我金玉，还归其室。
song'zhi'jian 讼之渐：营室紫宫，坚不可攻。明神建德，君受大福。
song'zhi'gui'mei 讼之归妹：孤翁寡妇，独宿悲苦。目张耳鸣，无与笑语。
song'zhi'feng 讼之丰：低头窥视，有所畏避。行者不利，酒酸鱼败，众莫贪嗜。
song'zhi'lv 讼之旅：载金贩狗，利弃我走。藏匿渊底，悔折为咎。
song'zhi'xun 讼之巽：行触大忌，与司命牾，执囚束缚，拘制于吏。
song'zhi'dui 讼之兑：执玉欢喜，佩之解挛。危详及安，使我无患。
song'zhi'huan 讼之涣：机杼纷扰，女功不成。长妹许嫁，衣无襦袴。闻祸不成，凶恶消去。
song'zhi'jie 讼之节：金人铁距，火烧左右。虽惧不恐，独得全处。
song'zhi'zhong'fu 讼之中孚：谢恩拜德，东归吾国。舞蹈欣跃，欢乐受福。
song'zhi'xiao'guo 讼之小过：青牛白咽，呼我俱田，历山之下，可以多耕。岁乐时节，民人安宁。
song'zhi'ji'ji 讼之既济：白雉群雊，慕德朝贡。湛露之恩，使我得欢。
song'zhi'wei'ji 讼之未济：避患东西，反入祸门。糟糠不足，忧愁我心。
shi'zhi'shi 师之师：乌鸣呼子，哺以酒脯。高楼之处，子来归母。穑人成功，年岁大有，妬妇无子。
shi'zhi'gan 师之乾：一簧两舌，佞言谄语。三奸成市，曾母投杼。
shi'zhi'kun 师之坤：春桃生花，季女宜家。受福且多，在师中吉，男为封君。
shi'zhi'tun 师之屯：殊类异路，心不相慕。牝牛牡猳，独无室家。
shi'zhi'meng 师之蒙：折叶蔽目，不见稚叔。三足孤乌，远其元夫。
shi'zhi'xu 师之需：雀东求粒，误入罔域。赖逢君子，脱复归息。
shi'zhi'song 师之讼：王孙季子，相与孝友。明允笃诚，升擢荐举，为国干辅。
shi'zhi'bi 师之比：削树无枝，与子分离。饥寒莫食，独泣哀悲。
shi'zhi'xiao'xu 师之小畜：舜升大禹，石夷之野。徵诣玉阙，拜理水土。
shi'zhi'lv 师之履：义不胜情，以欲自营。见利危宠，灭君令名。
shi'zhi'tai 师之泰：三人北行，六位光明。道逢淑女，与我骥子。
shi'zhi'pi 师之否：羿张乌号，彀射天狼。柱国雄勇，鬭死荥阳。
shi'zhi'tong'ren 师之同人：季姬踟蹰，结衿待时。终日至暮，百两不来。
shi'zhi'da'you 师之大有：鸿雁翩翩，始怨劳苦。灾疫病民，鳏寡愁忧。
shi'zhi'qian 师之谦：穿胸狗邦，僵离旁舂。天地易纪，日月更始。
shi'zhi'yu 师之豫：北山有枣，使叔寿考。东岭多栗，宜行贾市。陆梁雌雉，所至利喜。
shi'zhi'sui 师之随：干旄旌旗，抚帜在郊。虽有宝玉，无路致之。
shi'zhi'gu 师之蛊：精洁渊塞，为谗所言。证讯诘请，系于枳温。甘棠听断，怡然蒙恩。
shi'zhi'lin 师之临：玄黄虺隤，行者劳罢。役夫憔悴，逾时不归。
shi'zhi'guan 师之观：肤敏之德，发愤忘食。虏豹禽说，以成主德。
shi'zhi'ke'shi 师之噬嗑：采唐沫乡，要我桑中。失信不会，忧思约带。
shi'zhi'ben 师之贲：伯宁子福，惠我邦国。蠲除苛残，使季无患。
shi'zhi'bo 师之剥：谗父佞雄，贼乱邦国。生虽忠孝，败恩不福。
shi'zhi'fu 师之复：渊泉堤防，水道通利。顺注湖海，邦国富有。
shi'zhi'wu'wang 师之无妄：江南多蝮，螫我手足。冤繁诘屈，痛彻心腹。
shi'zhi'da'xu 师之大畜：三人俱行，别离独食。一身五心，反覆迷惑，乱无所得。
shi'zhi'yi 师之颐：鸦鸣庭中，以戒灾凶。重门击柝，备不速客。
shi'zhi'da'guo 师之大过：功成事就，拱手安居。立德有言，坐饰贡赋。
shi'zhi'kan 师之坎：国乱不安，兵革为患。掠我妻子，家中饥寒。
shi'zhi'li 师之离：戴尧扶禹，从乔彭祖。西遇王母，道路夷易，无敢难者。
shi'zhi'xian 师之咸：长尾委蛇，画地成河，深不可涉。绝无以比，惆怅会息。
shi'zhi'heng 师之恒：乘龙从霓，徵诣北阙。乃见宣室，拜守东城。镇慰黎元，举家蒙福。
shi'zhi'dun 师之遯：土与山连，终身无患。天地高明，万岁长安。
shi'zhi'da'zhaung 师之大壮：久旱水涸，枯槁无泽。虚修其德。未有所获。
shi'zhi'jin 师之晋：依天倚地，凶危不至。上清下净，受福大明，君受其利。
shi'zhi'ming'yi 师之明夷：火烈不去，必殪僵仆。燔我衣裾，福不可悔。
shi'zhi'jia'ren 师之家人：配合相迎，利之四乡。欣喜兴释，所言得当。
shi'zhi'kui 师之睽：清人高子，久屯外野。道遥不归，思我慈母。
shi'zhi'jian 师之蹇：武库军府，甲兵所聚。非里邑居，不可舍止。
shi'zhi'jie 师之解：三德五才，和合四时。阴阳顺序，国无咎灾。
shi'zhi'sun 师之损：解衣毛羽，飞入大都。晨门戒守，郑忽失家。
shi'zhi'yi 师之益：削根烧株，不生肌肤。病在心腹，日以燋枯。
shi'zhi'kuai 师之夬：文山紫芝，雍梁朱草。生长和气，福禄来处。
shi'zhi'gou 师之姤：多载重负，捐弃于野。予母谁子，但自劳苦。
shi'zhi'cui 师之萃：凫雁哑哑，以水为家。雌雄相和，心志娱乐，得其欢欲。
shi'zhi'sheng 师之升：耳目盲聋，所言不通。伫立以泣，事无成功。
shi'zhi'kun 师之困：天宫列宿，五神所舍。宫阙坚固，君安其居。
shi'zhi'jing 师之井：范子妙材，戮辱伤肤。然后相国，封为应侯。
shi'zhi'ge 师之革：秋冬探巢，不得鹊雏。衘指北去，惭我少夫。
shi'zhi'ding 师之鼎：子畏于匡，厄困陈蔡。德行不危，竟脱厄害。
shi'zhi'zhen 师之震：鸿飞在陆，公出不复。仲氏任止，伯氏客宿。
shi'zhi'gen 师之艮：鹤鸣九皋，避世隐居。抱朴守真，竟不随时。
shi'zhi'jian 师之渐：舜升大禹，石夷之野。徵诣玉阙，拜治水土。
shi'zhi'gui'mei 师之归妹：左辅右弼，金玉满匮。常盈不亡，富如廒仓。
shi'zhi'feng 师之丰：崔嵬北岳，天神贵客。衣冠不已，蒙被恩德。
shi'zhi'lv 师之旅：空槽注猪，獖彘不到。张弓祝鸡，雄父飞去。
shi'zhi'xun 师之巽：胡蛮戎狄，大阴所积。涸冰冻寒，君子不存。
tun'zhi'qian 师之兑：甘露醴泉，太平机关。仁德感应，岁乐民安。
shi'zhi'huan 师之涣：恶来呼伯，慎惊外客。甲守闭宅，以备凶急。临折之忧，将灭无灾。
shi'zhi'jie 师之节：日月相望，光明盛昌。三圣茂功，仁德大隆。
shi'zhi'zhong'fu 师之中孚：葛藟蒙棘，华不得实。谗佞乱政，使恩壅塞。
shi'zhi'xiao'guo 师之小过：邻不我顾，而望玉女。身多癞疾，谁肯媚者。
shi'zhi'ji'ji 师之既济：精诚所在，神为之辅。德教尚忠，弥世长久。三圣尚功，多受福祉。
shi'zhi'wei'ji 师之未济：钻木取火，掘地索泉。主母饥渴，手为心祸。
bi'zhi'bi 比之比：鹿得美草，鸣呼其友。九族和睦，不忧饥乏。长子入狱，霜降族哭。
bi'zhi'gan 比之乾：继祖复宗，追明成康。光照万国，享世久长。
bi'zhi'kun 比之坤：麟子凤雏，生长家国。和气所居，康乐无忧，邦多圣人。
bi'zhi'tun 比之屯：取火流泉，钓鰟山颠。鱼不可得，火不肯燃。
bi'zhi'meng 比之蒙：彭生为娱，白虎行灾。盗尧衣裳，桀跖荷兵。青禽照火，三日夷伤。
bi'zhi'xu 比之需：黍稷醇醴，敬奉山宗。神嗜饮食，甘雨嘉降。黎庶蕃殖，独蒙福祉。
bi'zhi'song 比之讼：李花再实，鸿飞降集。仁哲权舆，荫国受福。
bi'zhi'shi 比之师：千岁之墟，大国所屠。不见子都，城空无家。
bi'zhi'xiao'xu 比之小畜：公子王孙，把弹挕丸。发辄有得，室家饶足。
bi'zhi'lv 比之履：骊姬谗喜，与二嬖谋。谮杀恭子，贼害忠孝。申生以缢，重耳奔逃。
bi'zhi'tai 比之泰：长生无极，子孙千亿。柏柱载青，坚固不倾。
bi'zhi'pi 比之否：失意怀忧，如幽狴牢。亡子丧夫，附托寄居。
bi'zhi'tong'ren 比之同人：仁智隐伏，麟不可得。龙蛇潜藏，虚居堂室。
bi'zhi'da'you 比之大有：挒洁累累，缔结难解。嫫母衒嫁，媒不得坐，自为身祸。
bi'zhi'qian 比之谦：蜩飞坠木，不毁头足。保我羽翼，复归其室。
bi'zhi'yu 比之豫：陈妫敬仲，兆兴齐姜。乃适营丘，八世大昌。
bi'zhi'sui 比之随：过时不归，雌雄苦悲。徘徊外国，与母分离。
bi'zhi'gu 比之蛊：齐鲁争言，战于龙门。构怨结祸，三世不安。
bi'zhi'lin 比之临：府藏之富，王以赈贷。捕鱼河海，苟愿多得。
bi'zhi'guan 比之观：鸣鹤北飞，下就稻池。鳝鲔鰋鲤，众多饶有，一狗获两，利得过倍。
bi'zhi'ke'shi 比之噬嗑：苍梧郁林，道易利通。元龟象齿，宝贝南金，为吾福功。
bi'zhi'ben 比之贲：两火争明，虽鬭不伤。分离且忍，全我弟兄。
bi'zhi'bo 比之剥：伯夷叔齐，贞廉之师。以德防患，忧祸不存。
bi'zhi'fu 比之复：季去我东，发栉如蓬。展转空床，内怀忧伤。
bi'zhi'wu'wang 比之无妄：百足俱行，相辅为强。三圣翼事，王室宠光。
bi'zhi'da'xu 比之大畜：壅遏堤防，水不得行。火盛阳光，阴霓伏藏，退还其乡。
bi'zhi'yi 比之颐：滕蛇乘龙，年岁饥凶，民食草蓬。
bi'zhi'da'guo 比之大过：铅刀攻玉，坚不可得。尽我筋力，胝蠒为候。
bi'zhi'kan 比之坎：恒山浦寿，高邑所在。阴气下淋，洪水不处，牢人开户。
bi'zhi'li 比之离：比目四翼，来安我国。福善上堂，与我同床。
bi'zhi'xian 比之咸：杜口结舌，心中怫郁。去灾患生，莫所告冤。
bi'zhi'heng 比之恒：牵尾不前，逆理失臣。忠莫往来，惠朔以奔。
bi'zhi'dun 比之遯：早霜晚雪，伤害禾麦。损功弃力，饥无所食。
bi'zhi'da'zhaung 比之大壮：适戍失期，患生无聊。惧以发忧，发藏闭塞，邦国骚愁。
bi'zhi'jin 比之晋：昊天白日，照临我国。万民康乐，咸赖嘉福。
bi'zhi'ming'yi 比之明夷：元吉无咎，安宁不殆。时行则行，勿之有悔。
bi'zhi'jia'ren 比之家人：懿公浅愚，不深受谋。无援失国，为狄所贼。
bi'zhi'kui 比之睽：城上有乌，自号破家。呼唤鸩毒，为国患灾。
bi'zhi'jian 比之蹇：长股喜走，趍步千里。王良嘉言，伯来在道。申见王母。
bi'zhi'jie 比之解：耕石山颠，费种家贫。无聊处作，苗发不生。
bi'zhi'sun 比之损：二人异路，东趍西步。千里之行，不相知处。
bi'zhi'yi 比之益：纯服黄裳，载土以兴。德义茂生，天下归仁。
bi'zhi'kuai 比之夬：五铣铁颐，仓库空虚。贾市无盈，与利为仇。
bi'zhi'gou 比之姤：登昆仑，入天门。过糟丘，宿玉泉。问惠观，见仁君。
bi'zhi'cui 比之萃：团团白日，为月所食。损上毁下，郑昭出走。
bi'zhi'sheng 比之升：仓盈庾亿，宜稼黍稷。年岁有息，国家富有。
bi'zhi'kun 比之困：虎狼结谋，相聚为保。伺啮牛羊，道绝不通，伤我商人。
